"LibTaille","IDGrille","IdTaille","Ordre","LibTailleFR","LibTailleEU","LibTailleIT","LibTailleUK","LibTailleMX","LibTailleRUS","LibTailleAR","LibTailleAutre","LibTailleGER","LibTailleUSA","LibTailleSP","LibTailleGRK","isMilieu"
"32",1,1,1,"32","30","36","2","30","38","","","","","","",0
"34",1,2,2,"34","32","38","4","32","40","","","","","","",0
"36",1,3,3,"36","34","40","6","34","42","","","","","","",0
"38",1,5,4,"38","36","42","8","36","44","","","","","","",1
"40",1,6,4,"40","38","44","10","38","46","","","","","","",0
"42",1,7,6,"42","40","46","12","40","48","","","","","","",0
"44",1,8,7,"44","42","48","14","42","50","","","","","","",0
"46",1,9,8,"46","44","50","16","44","52","","","","","","",0
TU,3,10,1,TU,OS,OS,OS,UNI,OS,"","","","","","",0
XS,2,11,1,XS,XS,XS,XS,ECH,"40","","","","","","",0
S,2,12,2,S,S,S,S,CH,"42","","","","","","",0
M,2,13,3,M,M,M,M,M,"44","","","","","","",1
L,2,14,4,L,L,L,L,G,"46","","","","","","",0
XL,2,15,5,XL,XL,XL,XL,EG,"48","","","","","","",0
XXL,2,16,6,XXL,XXL,XXL,XXL,"","50","","","","","","",0
XXXL,2,17,7,XXXL,XXXL,XXXL,XXXL,"","52","","","","","","",0
"36",4,18,1,"","","","","","","","","","","","",0
"37",4,19,2,"","","","","","","","","","","","",0
"38",4,20,3,"","","","","","","","","","","","",0
"39",4,21,4,"","","","","","","","","","","","",0
"40",4,22,5,"","","","","","","","","","","","",0
"41",4,23,6,"","","","","","","","","","","","",0
XS / S,5,24,1,"","","","","","","","","","","","",0
S / M,5,25,2,"","","","","","","","","","","","",0
M / L,5,26,3,"","","","","","","","","","","","",0
L / XL,5,27,4,"","","","","","","","","","","","",0
XL / XXL,5,28,5,"","","","","","","","","","","","",0
XXL / XXXL,5,29,6,"","","","","","","","","","","","",0
"80",6,30,1,"","","","","","","","","","","","",0
"85",6,31,2,"","","","","","","","","","","","",0
"90",6,32,3,"","","","","","","","","","","","",0
"95",6,33,4,"","","","","","","","","","","","",0
T1,7,34,1,"","","","","","","","","","","","",0
T2,7,35,2,"","","","","","","","","","","","",0
T3,7,36,3,"","","","","","","","","","","","",0
"2A",8,37,1,"","","","","","","","","","","","",0
"3A",8,38,2,"","","","","","","","","","","","",0
"4A",8,39,3,"","","","","","","","","","","","",0
"5A",8,40,4,"","","","","","","","","","","","",0
"6A",8,41,5,"","","","","","","","","","","","",0
"8A",8,42,6,"","","","","","","","","","","","",0
"10A",8,43,7,"","","","","","","","","","","","",0
PM,9,44,1,"","","","","","","","","","","","",0
GM,9,45,2,"","","","","","","","","","","","",0
